strategy,solver_window_ms,user_decision_timeout_ms,time_to_deadline_ms,time_in_force,max_slippage_bps,max_gas_cost_usd,max_hops,has_whitelist,has_blacklist,has_limit_price,optimization_goal,surplus_weight,gas_cost_weight,execution_speed_weight,reputation_weight,require_simulation,input_count,output_count,input_asset_types,output_asset_types,input_value_usd,expected_output_value_usd,benchmark_source,benchmark_confidence,expected_gas_usd,expected_slippage_bps,has_nlp_input,nlp_confidence,client_platform,tag_count,actual_surplus_usd,actual_surplus_pct,actual_price_impact,primary_category,detected_priority,complexity_level,risk_level,gt_weight_surplus_usd,gt_weight_surplus_percentage,gt_weight_gas_cost,gt_weight_protocol_fees,gt_weight_total_hops,gt_weight_protocols_count,gt_weight_estimated_execution_time,gt_weight_solver_reputation_score,gt_weight_solver_success_rate
Gas-Optimized,36574,255039,6904157,good_til_cancel,40,2.4345870792240154,2,True,False,True,minimize_gas,26.18,66.32,12.07,-4.57,False,1,1,native,stable,477.13,463.62,coingecko,0.836,1.41,37,True,0.873,api,0,0.57,0.1202,0.78,limit_order,cost,moderate,medium,0.1403,0.1217,0.3018,0.0897,0.1018,0.0816,0.0493,0.0542,0.0596
Gas-Optimized,41606,367679,7011884,good_til_cancel,69,2.2704411838227987,2,True,True,False,minimize_gas,16.3,68.3,5.92,9.49,False,1,1,native,volatile,968.28,951.33,dexscreener,0.882,1.75,46,True,0.79,api,1,0.47,0.0486,0.68,swap,cost,moderate,medium,0.1146,0.0972,0.302,0.1506,0.1197,0.0518,0.054,0.0664,0.0437
Surplus-First,23981,134778,1653921,immediate,70,2.878650107154309,3,True,True,False,maximize_output,71.28,13.97,10.8,3.95,False,2,1,native,native,17385.3,17152.75,dexscreener,0.886,2.16,40,False,0.935,api,4,41.44,0.2384,0.76,complex_defi,output,complex,high,0.2482,0.2074,0.0864,0.0637,0.0196,0.0442,0.0921,0.1107,0.1277
Reputation-Trust,10199,47268,882433,good_til_cancel,54,2.527989359913324,2,False,False,True,balanced,34.52,22.43,1.13,41.92,True,1,2,"stable,volatile",native,2794.03,2797.69,dexscreener,0.908,1.46,25,False,0.828,api,4,5.39,0.1929,0.59,complex_defi,output,simple,medium,0.151,0.1107,0.1271,0.0973,0.0435,0.0397,0.0788,0.1827,0.1692
Surplus-First,23085,184144,1321685,immediate,96,2.686607389155559,4,False,False,False,maximize_output,72.33,10.94,11.94,4.79,True,1,1,"stable,volatile","stable,volatile",22230.93,22474.65,internal,0.902,1.54,62,True,0.931,mobile,4,52.9,0.238,0.36,swap,output,moderate,high,0.2686,0.2806,0.0934,0.0431,0.0407,0.0418,0.0691,0.0868,0.0759
Gas-Optimized,16138,336175,3931082,good_til_cancel,43,2.2756135388319314,3,False,True,False,minimize_gas,21.4,54.53,10.07,13.99,False,1,1,stable,volatile,264.23,264.83,coingecko,0.857,0.65,51,True,0.777,web,2,0.27,0.1038,0.97,swap,cost,moderate,medium,0.1463,0.0784,0.3252,0.1266,0.102,0.0485,0.0283,0.0763,0.0684
Surplus-First,15501,249795,1000646,good_til_cancel,76,2.7562500503200438,4,False,True,True,maximize_output,73.38,7.21,13.82,5.59,False,2,1,volatile,volatile,10011.52,9853.69,dexscreener,0.873,2.1,50,True,0.797,telegram,1,6.66,0.0665,0.71,complex_defi,output,moderate,high,0.2247,0.2549,0.0623,0.0604,0.0309,0.0439,0.0756,0.1196,0.1277
Reputation-Trust,12096,164514,1680216,immediate,72,2.421195193248785,2,True,False,True,balanced,30.27,21.47,11.5,36.76,True,3,2,"stable,volatile,native",stable,3060.03,3084.98,coingecko,0.917,1.15,39,False,0.941,mobile,1,3.74,0.1224,0.66,complex_defi,output,moderate,medium,0.1435,0.1246,0.12,0.0718,0.0432,0.0551,0.1029,0.1592,0.1797
Reputation-Trust,12115,101515,1002704,good_til_cancel,54,2.350588043974036,2,False,False,True,maximize_output,32.51,17.84,0.3,49.34,True,1,1,"stable,volatile,native",stable,649.41,650.78,coingecko,0.943,1.25,53,False,0.915,api,3,0.37,0.0567,0.6,limit_order,output,simple,medium,0.1559,0.1167,0.1416,0.0674,0.0513,0.0526,0.0726,0.1993,0.1426
Reputation-Trust,19194,90020,421003,good_til_cancel,52,2.681485436783744,4,True,False,True,balanced,27.41,17.83,11.25,43.52,True,1,2,"native,stable",native,5095.99,5041.83,internal,0.955,1.07,63,True,0.839,api,5,4.62,0.0907,0.5,complex_defi,output,moderate,high,0.1349,0.1058,0.0986,0.0824,0.0636,0.0594,0.0806,0.2004,0.1743
Gas-Optimized,41571,399924,1428629,good_til_cancel,60,2.4559335132216566,3,False,False,False,minimize_gas,28.75,57.17,14.21,-0.13,True,1,1,native,stable,434.07,426.13,dexscreener,0.864,1.15,25,False,0.754,web,2,0.4,0.093,0.77,swap,cost,simple,medium,0.1026,0.1232,0.3109,0.1333,0.1063,0.063,0.0265,0.0803,0.0539
Gas-Optimized,40009,241507,4806177,good_til_cancel,60,2.189722629148045,2,True,False,True,minimize_gas,16.15,68.21,6.76,8.89,True,1,1,volatile,stable,516.58,501.14,internal,0.933,1.07,60,False,0.765,telegram,1,0.38,0.0727,0.74,limit_order,cost,moderate,medium,0.1114,0.0846,0.3059,0.1106,0.0959,0.0777,0.0452,0.0852,0.0835
Gas-Optimized,32752,266600,3118273,good_til_cancel,75,2.212628701627362,3,True,True,True,minimize_gas,24.27,64.8,8.88,2.05,True,1,1,stable,volatile,740.42,742.37,dexscreener,0.877,1.53,35,False,0.77,web,1,1.07,0.1439,0.45,limit_order,cost,moderate,medium,0.0955,0.1257,0.2943,0.1357,0.1054,0.0607,0.0381,0.0666,0.078
Surplus-First,14176,165465,3223130,good_til_cancel,95,2.6466959458553405,4,False,True,True,maximize_output,70.59,8.88,9.22,11.31,True,2,2,"stable,volatile","stable,volatile",25987.41,26237.61,dexscreener,0.888,2.22,38,True,0.881,web,1,71.18,0.2739,0.6,complex_defi,output,complex,high,0.2785,0.2571,0.0669,0.0504,0.0342,0.0365,0.0944,0.0842,0.0978
Reputation-Trust,10488,101688,333503,immediate,52,2.688213203069434,3,False,True,True,maximize_output,23.61,16.49,12.36,47.54,True,1,1,stable,volatile,504.58,503.05,internal,0.904,1.82,52,False,0.83,web,2,0.69,0.1358,0.65,limit_order,output,moderate,medium,0.1561,0.1431,0.0877,0.0847,0.0483,0.0374,0.1165,0.2031,0.1231
Gas-Optimized,29348,390990,5790332,immediate,71,2.0107968433292056,2,True,False,False,minimize_gas,29.96,61.81,5.63,2.61,False,1,1,volatile,native,441.41,440.27,dexscreener,0.843,0.91,52,True,0.886,telegram,0,0.32,0.0734,0.55,swap,cost,moderate,medium,0.1402,0.0976,0.3045,0.0977,0.1101,0.0644,0.0475,0.0838,0.0542
Reputation-Trust,11296,120113,403596,good_til_cancel,70,2.727291983014876,4,True,False,False,balanced,22.9,19.44,17.45,40.22,True,2,2,"native,stable",native,8792.07,8780.21,coingecko,0.907,1.11,30,True,0.863,telegram,4,12.22,0.139,0.84,complex_defi,output,complex,high,0.1284,0.0963,0.1219,0.0597,0.0567,0.0511,0.1279,0.181,0.177
Gas-Optimized,33719,367393,7046938,good_til_cancel,65,2.303964726485117,2,False,False,True,minimize_gas,19.51,51.72,5.5,23.27,False,1,1,volatile,native,588.89,583.23,internal,0.867,1.93,52,True,0.77,api,2,0.33,0.0557,0.51,limit_order,cost,simple,medium,0.1498,0.0769,0.2921,0.108,0.1258,0.0711,0.0733,0.0547,0.0483
Gas-Optimized,34886,375039,1222207,good_til_cancel,74,2.276138652427375,3,False,False,False,minimize_gas,28.62,52.53,10.08,8.77,False,1,1,volatile,stable,270.21,271.05,coingecko,0.864,1.78,33,True,0.886,mobile,0,0.24,0.0873,0.77,swap,cost,simple,medium,0.0962,0.1188,0.3229,0.1448,0.0934,0.053,0.0399,0.0841,0.0469
Reputation-Trust,18390,72774,1687969,good_til_cancel,73,2.692388639453489,3,True,True,True,maximize_output,29.9,17.99,11.87,40.24,True,2,2,"native,stable",native,1218.26,1207.51,coingecko,0.967,1.33,34,True,0.869,web,2,2.25,0.1849,0.49,complex_defi,output,complex,medium,0.168,0.1419,0.1277,0.0651,0.0611,0.0634,0.071,0.1644,0.1374
Surplus-First,18702,91018,2608143,good_til_cancel,72,2.715736818358548,3,False,False,False,maximize_output,60.57,11.62,9.53,18.28,True,2,2,native,stable,9757.97,9581.99,dexscreener,0.945,2.13,48,True,0.801,api,4,19.7,0.2019,0.56,complex_defi,output,moderate,high,0.2815,0.2211,0.0674,0.0384,0.0253,0.0505,0.085,0.1043,0.1265
Reputation-Trust,15019,172613,683636,good_til_cancel,73,2.604284039716051,3,False,False,True,maximize_output,25.29,17.97,8.2,48.54,True,1,2,volatile,volatile,4562.66,4556.68,internal,0.907,1.13,38,True,0.928,web,2,6.12,0.1341,0.39,complex_defi,output,moderate,medium,0.1112,0.1221,0.1423,0.059,0.0492,0.0375,0.1013,0.1838,0.1936
Surplus-First,16196,283985,2545917,immediate,100,2.5742834595131896,3,True,False,True,maximize_output,64.89,5.46,11.16,18.49,False,1,1,"stable,volatile",stable,48860.59,48210.61,dexscreener,0.948,2.47,62,False,0.825,telegram,1,63.74,0.1305,0.49,limit_order,output,moderate,high,0.3055,0.2596,0.0715,0.0415,0.0306,0.0455,0.0757,0.0789,0.0912
Surplus-First,23858,287565,3324347,good_til_cancel,68,2.8002050456123384,4,True,True,True,maximize_output,73.4,9.11,13.74,3.76,False,1,1,native,native,28303.33,27867.33,dexscreener,0.925,2.71,65,True,0.852,api,0,26.92,0.0951,0.65,limit_order,output,complex,high,0.2891,0.2409,0.0518,0.0757,0.0381,0.033,0.0588,0.128,0.0846
Surplus-First,26758,90315,1915626,good_til_cancel,66,2.522193266856616,4,True,True,False,maximize_output,66.91,12.86,9.36,10.86,False,1,2,"native,stable",native,30030.28,30226.54,coingecko,0.944,1.95,49,False,0.782,api,4,24.57,0.0818,0.51,complex_defi,output,complex,high,0.3147,0.2449,0.087,0.0556,0.0266,0.0333,0.0457,0.0915,0.1007
Reputation-Trust,14469,121304,1162962,good_til_cancel,46,2.639388741134152,2,True,False,False,balanced,27.62,28.18,5.29,38.91,True,3,1,"stable,volatile","stable,volatile",4013.84,3953.85,dexscreener,0.917,1.72,55,True,0.902,api,1,4.61,0.1148,0.37,complex_defi,cost,moderate,medium,0.144,0.1477,0.1159,0.0471,0.0458,0.0485,0.1207,0.1782,0.1521
Surplus-First,15428,268168,1163321,immediate,77,2.9414286667337928,4,False,False,True,maximize_output,62.06,12.93,10.88,14.13,False,2,1,"native,stable",native,48112.63,47870.07,internal,0.957,2.17,32,False,0.847,api,4,123.49,0.2567,0.62,complex_defi,output,moderate,high,0.3041,0.2219,0.0949,0.054,0.0268,0.0287,0.0638,0.1112,0.0946
Gas-Optimized,33391,333409,3918895,immediate,59,2.2723777616969545,3,True,False,False,minimize_gas,15.02,64.22,9.21,11.55,False,1,1,volatile,native,505.94,509.45,coingecko,0.863,0.8,42,False,0.867,web,2,0.67,0.1315,0.42,swap,cost,moderate,medium,0.1151,0.0909,0.321,0.1194,0.0717,0.0755,0.0684,0.0679,0.0701
Surplus-First,29501,210799,2416988,good_til_cancel,64,2.715967835075345,4,True,True,False,maximize_output,73.47,14.97,14.71,-3.16,True,2,1,"native,stable","stable,volatile",8083.28,8006.5,dexscreener,0.915,2.66,38,True,0.82,mobile,3,12.03,0.1488,0.59,swap,output,complex,high,0.2836,0.2344,0.074,0.0664,0.0386,0.0242,0.0731,0.1092,0.0965
Gas-Optimized,26851,121690,3143398,immediate,56,2.1502515474558885,2,True,False,False,minimize_gas,22.68,51.68,8.94,16.7,True,1,1,volatile,native,933.37,927.94,coingecko,0.908,1.35,42,True,0.801,api,1,0.74,0.079,0.48,swap,cost,moderate,medium,0.1105,0.0871,0.3781,0.1065,0.0981,0.0558,0.0398,0.0687,0.0554
Surplus-First,15535,123932,3073371,good_til_cancel,72,2.8193469901760357,3,False,False,False,maximize_output,75.12,11.17,8.75,4.97,True,2,2,volatile,volatile,34507.33,34724.12,coingecko,0.915,1.62,59,False,0.789,web,1,65.81,0.1907,0.7,complex_defi,output,moderate,high,0.2808,0.1993,0.0807,0.0542,0.0227,0.0411,0.0543,0.1353,0.1316
Reputation-Trust,11078,47270,476441,good_til_cancel,61,2.4243328282040157,3,True,False,True,maximize_output,25.5,22.58,12.85,39.07,True,1,2,"stable,volatile,native",volatile,1083.69,1088.33,coingecko,0.935,1.49,64,True,0.929,mobile,6,1.96,0.1807,0.75,complex_defi,output,moderate,medium,0.1017,0.0918,0.1452,0.0957,0.043,0.0568,0.112,0.2238,0.13
Surplus-First,11423,242882,2522211,immediate,64,2.9692108139481403,4,False,False,True,maximize_output,72.98,10.22,8.7,8.09,False,1,2,"stable,volatile",volatile,38856.09,39493.46,coingecko,0.887,2.82,56,False,0.747,web,4,70.19,0.1806,0.56,complex_defi,output,moderate,high,0.2875,0.2206,0.0902,0.0505,0.0232,0.0328,0.0793,0.0983,0.1176
Gas-Optimized,23277,394568,6662556,good_til_cancel,72,2.046576810362069,2,False,False,True,minimize_gas,16.54,68.42,11.5,3.53,True,1,1,native,stable,770.69,776.45,coingecko,0.862,0.95,48,True,0.785,web,0,0.61,0.0791,0.64,limit_order,cost,simple,medium,0.1256,0.1076,0.301,0.1004,0.1242,0.0571,0.0396,0.0673,0.0772
Reputation-Trust,16455,166781,915638,immediate,59,2.4164670591599333,4,True,True,True,balanced,33.6,28.41,-13.22,51.21,True,1,1,"stable,volatile",stable,8166.03,8255.93,coingecko,0.974,1.7,25,True,0.953,mobile,1,15.59,0.191,0.82,limit_order,output,complex,high,0.1081,0.1233,0.1256,0.0739,0.0472,0.0568,0.0996,0.1871,0.1784
Reputation-Trust,17679,68668,711272,good_til_cancel,68,2.6443897195175707,3,True,False,False,maximize_output,33.01,18.2,7.64,41.15,True,2,1,stable,volatile,3221.6,3194.08,coingecko,0.908,1.03,35,True,0.925,telegram,6,2.2,0.0684,0.53,swap,output,moderate,medium,0.1305,0.1279,0.1248,0.0881,0.0452,0.061,0.1124,0.1824,0.1277
Gas-Optimized,44775,170908,5532398,good_til_cancel,53,2.160308132885008,3,True,False,False,minimize_gas,20.65,67.85,14.85,-3.36,False,1,1,volatile,stable,218.07,214.78,internal,0.802,0.68,36,True,0.758,telegram,1,0.07,0.0324,0.52,swap,cost,moderate,medium,0.126,0.0826,0.3334,0.0946,0.1323,0.0621,0.0279,0.084,0.0571
Gas-Optimized,43200,173425,5482507,good_til_cancel,47,2.4720562017901173,2,True,True,False,minimize_gas,20.67,59.39,11.08,8.85,True,1,1,volatile,native,755.18,744.36,coingecko,0.885,1.7,32,True,0.821,web,0,0.51,0.0677,0.73,swap,cost,moderate,medium,0.1032,0.1108,0.3064,0.1377,0.0895,0.0699,0.0595,0.0552,0.0678
Reputation-Trust,19147,122895,697000,fill_or_kill,65,2.558492011614958,4,True,False,True,maximize_output,29.74,18.47,9.36,42.43,True,3,2,volatile,volatile,2332.54,2320.78,coingecko,0.939,1.4,51,False,0.854,mobile,5,3.47,0.1488,0.8,complex_defi,output,complex,high,0.1566,0.1136,0.1208,0.0757,0.0395,0.0464,0.0828,0.169,0.1956
Surplus-First,18209,239665,804322,immediate,91,2.674090244539128,3,False,False,False,maximize_output,62.86,9.37,9.42,18.35,False,1,1,"stable,volatile",native,14247.97,14065.03,internal,0.979,1.79,53,True,0.701,api,2,10.48,0.0735,0.48,swap,output,simple,high,0.2698,0.2862,0.0787,0.031,0.0277,0.0337,0.0511,0.1261,0.0957
Surplus-First,27480,198284,464082,immediate,91,2.5081361460292864,4,True,False,False,maximize_output,62.62,14.67,5.37,17.34,False,2,2,"stable,volatile",stable,23357.71,23410.45,dexscreener,0.914,1.57,49,False,0.823,web,2,66.44,0.2844,0.35,complex_defi,output,complex,high,0.2575,0.2672,0.0539,0.0754,0.0434,0.0395,0.058,0.0815,0.1236
Gas-Optimized,43405,350115,1406094,good_til_cancel,45,2.0748355698119143,2,False,True,False,minimize_gas,25.0,69.53,5.71,-0.24,False,1,1,native,volatile,210.29,208.75,internal,0.861,1.35,53,False,0.787,mobile,3,0.18,0.0838,0.69,swap,cost,moderate,medium,0.0933,0.1072,0.3308,0.097,0.1102,0.0735,0.0276,0.086,0.0744
Surplus-First,23397,107181,3525302,good_til_cancel,99,2.820762500086178,4,False,False,False,maximize_output,61.38,14.34,5.32,18.96,False,2,1,"native,stable",volatile,46761.85,47049.03,dexscreener,0.865,2.99,55,True,0.882,mobile,0,111.78,0.239,0.79,complex_defi,output,moderate,high,0.284,0.2277,0.0685,0.0637,0.0245,0.0272,0.0571,0.1303,0.117
Gas-Optimized,23641,396000,4894957,immediate,67,2.0966633381978523,2,False,False,True,minimize_gas,21.42,62.19,5.05,11.34,False,1,1,native,volatile,813.95,811.35,dexscreener,0.936,1.73,37,False,0.78,api,1,0.54,0.0663,0.9,limit_order,cost,simple,medium,0.0895,0.1069,0.3335,0.149,0.0903,0.0757,0.0485,0.0445,0.0621
Surplus-First,20694,67766,2959704,immediate,100,2.9962929392253987,4,True,False,False,maximize_output,75.38,14.55,8.97,1.1,False,1,2,stable,native,17359.34,17566.3,internal,0.86,1.9,54,True,0.885,api,2,13.3,0.0766,0.3,complex_defi,output,moderate,high,0.2976,0.2499,0.0672,0.0388,0.0271,0.0354,0.0823,0.115,0.0867
Surplus-First,26444,291219,882875,immediate,60,2.6149953830133685,4,True,True,True,maximize_output,69.74,9.82,11.04,9.4,True,2,1,volatile,"stable,volatile",43452.11,43992.96,internal,0.865,2.51,60,True,0.848,telegram,0,48.2,0.1109,0.36,swap,output,complex,high,0.2507,0.239,0.0899,0.0355,0.0238,0.0453,0.0721,0.1031,0.1406
Surplus-First,11383,249392,2337768,good_til_cancel,53,2.9297920014579053,3,False,False,True,maximize_output,75.79,7.78,10.51,5.92,False,2,1,"stable,volatile",volatile,1942.52,1922.01,internal,0.945,2.9,63,False,0.824,web,1,3.88,0.2,0.69,complex_defi,output,moderate,medium,0.2732,0.2496,0.0671,0.0651,0.0262,0.0316,0.0553,0.0891,0.1428
Gas-Optimized,15261,389372,4337486,good_til_cancel,43,2.345635973562811,2,True,True,False,minimize_gas,16.5,68.68,6.58,8.25,False,1,1,native,volatile,603.51,593.79,internal,0.895,1.68,43,False,0.83,mobile,1,0.15,0.0248,0.41,swap,cost,moderate,medium,0.1155,0.1113,0.3579,0.1214,0.0786,0.0802,0.0383,0.049,0.0478
Gas-Optimized,23383,332191,4487006,good_til_cancel,78,2.063041169200455,3,False,True,False,minimize_gas,20.31,59.15,6.87,13.68,True,1,1,stable,volatile,709.5,709.56,coingecko,0.827,1.15,30,True,0.86,mobile,0,0.47,0.0658,0.95,swap,cost,moderate,medium,0.1304,0.0932,0.3128,0.1263,0.1024,0.0626,0.0413,0.0709,0.0601
Surplus-First,28888,177511,2965915,good_til_cancel,67,2.9312127634185883,4,True,False,False,maximize_output,68.48,11.06,8.03,12.43,False,1,2,"stable,volatile","stable,volatile",10278.04,10280.22,internal,0.906,1.73,80,False,0.705,telegram,3,27.08,0.2635,0.68,complex_defi,output,moderate,high,0.3143,0.2384,0.0529,0.0609,0.0255,0.0311,0.0668,0.0976,0.1125
Surplus-First,21459,221538,2154763,good_til_cancel,78,2.5224387754656865,3,True,False,True,maximize_output,73.11,12.7,6.69,7.5,True,1,1,volatile,volatile,17553.98,17812.91,dexscreener,0.852,2.54,37,False,0.813,web,2,17.95,0.1023,0.57,limit_order,output,moderate,high,0.2723,0.2541,0.0634,0.0545,0.0422,0.0244,0.0855,0.0819,0.1217
Gas-Optimized,29654,180231,5234459,immediate,52,2.294491193296309,3,False,True,True,minimize_gas,26.35,58.11,14.89,0.64,True,1,1,stable,stable,937.13,943.58,coingecko,0.843,1.36,58,True,0.884,api,3,0.39,0.0421,0.82,limit_order,cost,moderate,medium,0.0935,0.0986,0.2722,0.1574,0.1292,0.0829,0.0296,0.0717,0.0649
Surplus-First,11039,146572,636480,good_til_cancel,53,2.633251789121527,4,True,False,True,maximize_output,75.99,14.98,9.64,-0.61,True,2,2,stable,stable,15923.05,16225.33,internal,0.882,2.66,58,True,0.884,web,1,26.31,0.1652,0.69,complex_defi,output,complex,high,0.2729,0.2694,0.0665,0.0579,0.0265,0.0268,0.0736,0.0749,0.1315
Surplus-First,16875,287107,3403152,immediate,73,2.808777516390668,3,False,True,True,maximize_output,73.9,12.62,5.61,7.86,True,1,2,stable,volatile,8210.04,8055.68,coingecko,0.89,2.44,46,False,0.707,web,2,4.69,0.0571,0.54,complex_defi,output,moderate,high,0.3236,0.2145,0.0704,0.057,0.0429,0.0417,0.0585,0.087,0.1044
Reputation-Trust,13669,102687,1344753,immediate,75,2.5286354809359786,4,True,True,False,maximize_output,34.98,16.09,4.22,44.71,True,1,1,volatile,stable,3224.26,3236.47,coingecko,0.965,1.17,26,True,0.815,web,2,4.31,0.1337,0.52,swap,output,complex,high,0.142,0.0876,0.1074,0.0898,0.0495,0.0373,0.108,0.2241,0.1543
Surplus-First,15717,88816,3072676,good_til_cancel,58,2.5074301636153544,3,False,True,True,maximize_output,79.68,14.88,10.4,-4.96,False,1,1,"stable,volatile",stable,14225.1,14364.89,dexscreener,0.908,2.04,67,True,0.813,mobile,4,8.65,0.0608,0.69,limit_order,output,moderate,high,0.3037,0.2275,0.0658,0.0705,0.0197,0.031,0.0632,0.1155,0.1031
Reputation-Trust,16746,72909,745626,fill_or_kill,63,2.690216545099463,4,True,True,True,balanced,29.62,20.53,12.31,37.55,True,1,1,native,native,4134.47,4137.61,coingecko,0.931,2.04,65,False,0.94,api,5,4.88,0.118,0.52,limit_order,output,complex,high,0.155,0.1115,0.0827,0.0677,0.0532,0.0275,0.1022,0.2149,0.1853
Reputation-Trust,19581,117429,837598,good_til_cancel,66,2.799863834499743,3,True,False,False,balanced,29.37,16.01,5.11,49.5,True,1,1,stable,native,3964.11,3894.9,coingecko,0.897,2.31,58,False,0.879,mobile,3,2.91,0.0735,0.8,swap,output,moderate,medium,0.1519,0.1163,0.1141,0.0698,0.056,0.0566,0.0736,0.2061,0.1556
Surplus-First,12809,116778,2184095,immediate,80,2.585283391994848,4,True,True,False,maximize_output,77.57,12.28,13.21,-3.06,True,2,2,"native,stable",stable,32062.32,31715.81,dexscreener,0.867,1.52,63,False,0.907,web,1,54.17,0.169,0.61,complex_defi,output,complex,high,0.2389,0.262,0.0707,0.0338,0.0324,0.0225,0.0755,0.1298,0.1344
Reputation-Trust,10330,107652,1557452,good_til_cancel,63,2.2175154966478257,2,True,False,True,maximize_output,30.87,16.51,1.67,50.95,True,2,1,"native,stable","stable,volatile",2043.29,2062.53,coingecko,0.971,2.21,47,True,0.911,mobile,4,1.39,0.068,0.45,complex_defi,output,moderate,medium,0.1325,0.1141,0.0953,0.0844,0.0513,0.0287,0.1095,0.2426,0.1416
Gas-Optimized,41753,192499,2297490,immediate,58,2.151020960669289,2,True,False,False,minimize_gas,26.04,53.91,11.92,8.13,True,1,1,native,native,232.74,225.95,coingecko,0.802,1.06,44,False,0.762,telegram,1,0.28,0.1224,0.67,swap,cost,moderate,medium,0.1079,0.1155,0.2846,0.12,0.1128,0.0519,0.0661,0.0779,0.0633
Gas-Optimized,34760,196521,907417,immediate,54,2.244165195191447,2,False,True,True,minimize_gas,18.9,59.19,13.47,8.44,True,1,1,native,stable,980.98,985.84,coingecko,0.903,0.86,53,True,0.823,web,3,0.84,0.0858,0.93,limit_order,cost,moderate,medium,0.151,0.1089,0.307,0.1043,0.1081,0.0548,0.0405,0.0712,0.0542
Reputation-Trust,19188,104726,1022141,fill_or_kill,52,2.6140571512711315,2,True,True,True,balanced,24.17,18.3,22.47,35.06,True,3,1,"stable,volatile",stable,9620.65,9557.31,dexscreener,0.902,1.1,41,True,0.86,api,5,4.43,0.046,0.62,complex_defi,output,complex,high,0.1211,0.1279,0.111,0.0532,0.0433,0.0312,0.0798,0.2264,0.2061
Surplus-First,24223,286949,2093271,good_til_cancel,56,2.7766470811818187,4,False,False,False,maximize_output,75.07,7.17,5.27,12.49,True,2,2,volatile,volatile,13495.37,13715.46,dexscreener,0.954,2.93,35,True,0.893,api,2,26.02,0.1928,0.32,complex_defi,output,moderate,high,0.2712,0.2217,0.0611,0.0612,0.0422,0.0199,0.0639,0.1234,0.1354
Reputation-Trust,16798,106655,961909,good_til_cancel,64,2.5472133320134343,3,True,True,False,balanced,29.82,19.6,-3.32,53.9,True,1,1,"native,stable",volatile,6733.34,6613.19,coingecko,0.969,1.64,61,True,0.824,telegram,1,8.63,0.1281,0.63,swap,output,moderate,high,0.1688,0.125,0.1001,0.0571,0.0355,0.0525,0.0832,0.2017,0.1761
Reputation-Trust,17364,104799,1561161,immediate,55,2.283947195656869,4,True,False,False,balanced,28.66,16.02,15.82,39.51,True,1,2,"native,stable",volatile,2589.42,2579.42,coingecko,0.941,1.94,45,True,0.95,mobile,2,4.77,0.1842,0.56,complex_defi,output,moderate,high,0.1135,0.1001,0.1143,0.0833,0.0403,0.0614,0.1001,0.2071,0.1799
Reputation-Trust,9133,97878,1597076,fill_or_kill,72,2.48924461621843,4,True,False,True,maximize_output,32.56,23.15,2.89,41.4,True,2,1,native,volatile,4803.9,4829.39,dexscreener,0.897,1.41,57,False,0.823,telegram,2,3.11,0.0648,0.79,swap,output,moderate,high,0.1145,0.135,0.1297,0.0577,0.0418,0.0356,0.0975,0.1962,0.192
Gas-Optimized,37311,298773,2989132,immediate,58,2.4277540466565948,3,False,True,False,minimize_gas,17.51,60.74,12.4,9.35,True,1,1,stable,volatile,113.18,113.61,coingecko,0.819,1.99,50,False,0.769,mobile,0,0.15,0.1283,0.51,swap,cost,moderate,medium,0.1402,0.1189,0.2826,0.1301,0.0965,0.0498,0.0522,0.0454,0.0843
Surplus-First,19114,107576,2755050,immediate,90,2.9071224722703017,3,False,False,False,maximize_output,63.5,10.19,9.42,16.88,False,2,1,volatile,native,38273.9,38138.63,dexscreener,0.887,2.92,78,True,0.814,api,2,50.07,0.1308,0.79,complex_defi,output,moderate,high,0.3026,0.2539,0.045,0.066,0.0304,0.0194,0.0683,0.1111,0.1033
Reputation-Trust,19415,103315,1152171,fill_or_kill,66,2.2944051762003133,3,True,False,True,balanced,21.44,22.34,7.4,48.82,True,3,2,volatile,"stable,volatile",7333.48,7320.9,coingecko,0.942,1.39,33,True,0.902,web,2,9.72,0.1325,0.66,complex_defi,cost,complex,high,0.1468,0.1507,0.1342,0.0751,0.0424,0.0353,0.1119,0.1587,0.1449
Surplus-First,15427,226437,2960499,good_til_cancel,98,2.858042982042026,4,True,False,True,maximize_output,79.94,6.67,6.59,6.8,False,2,2,"native,stable","stable,volatile",34837.89,35386.58,dexscreener,0.892,2.58,49,True,0.719,api,1,97.81,0.2808,0.61,complex_defi,output,complex,high,0.32,0.1905,0.0652,0.0344,0.0413,0.0397,0.0836,0.1356,0.0897
Gas-Optimized,43634,173821,4987848,immediate,73,2.0524055774621672,2,False,True,True,minimize_gas,18.09,65.9,9.96,6.05,False,1,1,native,volatile,800.41,780.05,coingecko,0.887,1.41,51,True,0.797,telegram,0,1.08,0.1354,0.41,limit_order,cost,moderate,medium,0.1279,0.0985,0.3023,0.131,0.0939,0.0722,0.056,0.0565,0.0617
Surplus-First,10873,216476,2290575,immediate,91,2.8914519957157108,3,True,False,True,maximize_output,68.33,8.08,13.99,9.6,False,1,1,stable,stable,5925.43,5852.14,dexscreener,0.891,1.73,74,True,0.803,telegram,5,13.74,0.2319,0.65,limit_order,output,moderate,high,0.2743,0.2327,0.0908,0.049,0.0285,0.0443,0.0663,0.1066,0.1075
